種別,機種名,シリーズ名,キャリア,初期設定方法を見る,製品画像URL,"4Gデータ通信
（楽天回線／KDDI回線）",5Gデータ通信,"通話
（楽天回線／KDDI回線）","SMS
（楽天回線)","SMS
（KDDI回線)",SMS,確認SIMタイプ,"APN自動設定
海外／国内",接続先回線切替,ETWS,"緊急呼時の高精度な位置情報測位
",デュアルSIM,確認済OS/SWバージョン,特記コメント,Rakuten Link動作確認結果,非公式スマホ,動作確認済モデル番号,備考,記載日,対応製品,AIチャット非表示製品
Androidスマートフォン,HUAWEI P30 lite,HUAWEI,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/p30lite/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 9 / 9.1.0.300(C635xxxxxx),,,,,,2020/4/21,〇,
Androidスマートフォン,HUAWEI nova lite 3,HUAWEI,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/novalite3/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 9 / 9.1.0.305(C635xxxxxx),,,,,,2020/4/21,〇,
Androidスマートフォン,Reno 10x Zoom,OPPO,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/reno-10x-zoom/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 9 / CPH1919EX_11_A.16,,,,,,2020/4/21,〇,
Androidスマートフォン,AX7,OPPO,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/ax7/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 8.1 / CPH1903EX_11_A.17,,,,,,2020/4/21,〇,
Androidスマートフォン,R17 Pro,OPPO,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/r17pro/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 9 / CPH1877EX_11_C.24,,,,,,2020/4/21,〇,
Androidスマートフォン,Find X,OPPO,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/findx/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 9 / CPH1875EX_11_C.17,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS zero SH-M10,SHARP,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/aquos-shm10/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 01.00.03,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS R2 compact SH-M09,SHARP,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/aquos-r2-compact/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 01.00.08,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS sense2 SH-M08,SHARP,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense2/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 02.00.04,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS sense plus SH-M07,SHARP,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/aquos-shm07/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 02.00.02,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS R compact SH-M06,SHARP,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/aquos-shm06/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 02.00.02,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS sense lite SH-M05,SHARP,楽天モバイル（ドコモ回線／au回線）,https://network.mobile.rakuten.co.jp/guide/setting/aquos-shm05/,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 03.00.04,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS zero6 SH-RM18,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-zero6/,/assets/img/product/aquos-zero6/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 11 / 01.00.00,楽天回線対応デバイスです。,,,,,2021/10/14,〇,
Androidスマートフォン,AQUOS sense6 SH-RM19,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense6/,/assets/img/product/aquos-sense6/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 11 / 01.00.00,楽天回線対応デバイスです。,,,,,2021/11/11,〇,
Androidスマートフォン,AQUOS sense6s SH-RM19s,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense6s/,/assets/img/product/aquos-sense6s/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 11 / 01.00.00,楽天回線対応デバイスです。,,,,,2022/7/29,〇,
Androidスマートフォン,AQUOS sense7 SH-M24,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense7/,/assets/img/product/aquos-sense7/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 12 / 01.00.01,楽天回線対応デバイスです。,,,,,2022/11/4,〇,
Androidスマートフォン,AQUOS sense8 SH-M26,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense8/,/assets/img/product/aquos-sense8/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 13 / 01.00.02,楽天回線対応デバイスです。,,,,,2023/11/9,〇,
Androidスマートフォン,AQUOS wish SH-M20,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-wish/,/assets/img/product/aquos-wish/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 11 / 01.00.00,楽天回線対応デバイスです。,,,,,2022/1/21,〇,
Androidスマートフォン,AQUOS wish3 SH-M25,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-wish3/,/assets/img/product/aquos-wish3/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 13 / 67JP_1_20B,楽天回線対応デバイスです。,,,,,2023/10/13,〇,
Androidスマートフォン,Redmi Note 11 Pro 5G,Xiaomi,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/redmi-note-11-pro-5g/,/assets/img/product/redmi-note-11-pro-5g/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 11 / MIUI Global 13.0.2 安定版13.0.2.0(RKCJPRK),楽天回線対応デバイスです。,,,,,2022/5/30,〇,
Androidスマートフォン,Xperia 5 IV,Sony,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/xperia-5m4/,/assets/img/product/xperia-5m4/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 12 / 64.0.H.6.27,楽天回線対応デバイスです。,,,,,2022/10/21,〇,
Androidスマートフォン,Xperia 5 V,Sony,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/xperia-5m5/,/assets/img/product/xperia-5m5/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 13 / 67.0.A.8.37,楽天回線対応デバイスです。,,,,,2023/10/13,〇,
Androidスマートフォン,Xperia 10 III Lite,Sony,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/xperia-10m3-lite/,/assets/img/product/xperia-10m3-lite/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 11 / 62.0.A.5.61,,,,,,2021/8/27,〇,
Androidスマートフォン,Xperia 10 IV,Sony,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/xperia-10m4/,/assets/img/product/xperia-10m4/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 12 / 65.0.A.1.172,楽天回線対応デバイスです。,,,,,2022/6/30,〇,
Androidスマートフォン,Xperia 10 V,Sony,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/xperia-10m5/,/assets/img/product/xperia-10m5/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 13 / 68.0.A.1.136,楽天回線対応デバイスです。,,,,,2023/7/6,〇,
Androidスマートフォン,Xperia Ace,Sony,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/xperia-ace/,/assets/img/product/xperia-ace/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 53.0.C.0.220,,,,,,2020/4/21,〇,
Androidスマートフォン,Galaxy A7,Samsung,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/galaxy-a7/,/assets/img/product/galaxy-a7/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / A750CONU0ASI1,,,,,,2020/4/21,〇,
Androidスマートフォン,Galaxy A23 5G,Samsung,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/galaxy-a23-5g/,/assets/img/product/galaxy-a23-5g/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 12 / A233CONU1AVI7,,,,,,2022/11/22,〇,
Androidスマートフォン,Galaxy S10,Samsung,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/galaxy-s10/,/assets/img/product/galaxy-s10/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / G973CONU1ASJE,,,,,,2020/4/21,〇,
Androidスマートフォン,Galaxy S23,Samsung,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/galaxy-s23/,/assets/img/product/galaxy-s23/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,"Android 13 / S911CONU1AWC2										",,,,,,2023/4/20,〇,
Androidスマートフォン,Galaxy Note10+,Samsung,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/galaxy-note10-plus/,/assets/img/product/galaxy-note10-plus/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / N975CONU1ASJ9,,,,,,2020/4/21,〇,
Androidスマートフォン,Galaxy Z Flip4,Samsung,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/galaxy-z-flip4/,/assets/img/product/galaxy-z-flip4/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 12 / F721CONU1AVH7,,,,,,2022/9/29,〇,
Androidスマートフォン,arrows RX,FCNT,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/arrows-rx/,/assets/img/product/arrows-rx/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / V12R034C,,,,,,2020/4/21,〇,
Androidスマートフォン,OPPO A5 2020,OPPO,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/a5-2020/,/assets/img/product/a5-2020/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 9 / CPH1943EX_11_A.23,,,,,,2020/4/21,〇,
Androidスマートフォン,OPPO A55s 5G,OPPO,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/a55s-5g/,/assets/img/product/a55s-5g/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM x 2 または nanoSIM/eSIM,Android 11 / CPH2309_11_A.09,楽天回線対応デバイスです。,,,,,2021/11/26,〇,
Androidスマートフォン,OPPO A73,OPPO,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/a73/,/assets/img/product/a73/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM/eSIM,Android 10 / CPH2099_11_A.27,,,,,,2020/11/9,〇,
Androidスマートフォン,OPPO A79 5G,OPPO,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/a79-5g/,/assets/img/product/a79-5g/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM x 2 または nanoSIM/eSIM,Android 13 / CPH2557_13.1.1.546(EX01),,,,,,2024/2/15,〇,
Androidスマートフォン,OPPO Reno A 128GB,OPPO,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/reno-a/,/assets/img/product/reno-a/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 9 / CPH1983EX_11_A.12,,,,,,2020/4/21,〇,
Androidスマートフォン,OPPO Reno3 A,OPPO,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/reno3-a/,/assets/img/product/reno3-a/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 10 / CPH2013_11_A.19,,,,,,2020/6/25,〇,
Androidスマートフォン,OPPO Reno5 A,OPPO,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/reno5-a/,/assets/img/product/reno5-a/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM x 2 または nanoSIM/eSIM,Android 11 / CPH2199_11_A.09,2021/6/18の発売日に公開してください,,,,,2021/6/1,〇,
Androidスマートフォン,OPPO Reno7 A,OPPO,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/reno7-a/,/assets/img/product/reno7-a/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM x 2 または nanoSIM/eSIM,Android 11 / CPH2353_11_A.09,,,,,,2022/6/30,〇,
Androidスマートフォン,OPPO Reno9 A,OPPO,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/reno9-a/,/assets/img/product/reno9-a/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM x 2 または nanoSIM/eSIM,Android 13 / CPH2523_13.1.0.523(EX01),,,,,,2022/6/22,〇,
Androidスマートフォン,HUAWEI nova 5T,HUAWEI,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/nova5t/,/assets/img/product/nova5t/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 9 / 9.1.0.121,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS R5G,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-r5g/,/assets/img/product/aquos-r5g/pht-device-01.png,〇,〇,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 10 / 01.00.05,,,,,,2021/2/15,〇,
Androidスマートフォン,AQUOS sense3 lite SH-RM12,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense3-lite/,/assets/img/product/aquos-sense3-lite/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 01.00.02,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS sense3 plus SH-RM11,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense3-plus/,/assets/img/product/aquos-sense3-plus/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 9 / 67JP_1_330_B01,,,,,,2020/4/21,〇,
Androidスマートフォン,AQUOS sense4 lite SH-RM15,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense4-lite/,/assets/img/product/aquos-sense4-lite/pht-device-01.png,〇,-,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 10 / 01.00.04,,,,,,2020/11/4,〇,
Androidスマートフォン,AQUOS sense4 plus SH-M16,SHARP,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/aquos-sense4-plus/,/assets/img/product/aquos-sense4-plus/pht-device-01.png,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 10 / 67JP_1_03A,11/25発売日に公開してください。,,,,,2020/11/9,〇,
Androidスマートフォン,Rakuten BIG s,Rakuten,楽天モバイル,https://network.mobile.rakuten.co.jp/product/smartphone/rakuten-big-s/support/setting/,/assets/img/product/rakuten-big-s/pht-device-01.png,〇,〇,〇,〇,〇,〇,eSIM,〇,〇,〇,〇,,Android 10 / 3917JR.210401.0S,　,　,　,　,　,2021/4/9,〇,
Androidスマートフォン,Rakuten BIG,Rakuten,楽天モバイル,https://network.mobile.rakuten.co.jp/product/smartphone/rakuten-big/support/setting/,/assets/img/product/rakuten-big/pht-device-01.png,〇,〇,〇,〇,〇,〇,eSIM,〇,〇,〇,〇,,Android 10 / ZR01 a26.0,,,,,,2021/2/15,〇,
Androidスマートフォン,Rakuten Hand,Rakuten,楽天モバイル,https://network.mobile.rakuten.co.jp/product/smartphone/rakuten-hand/support/setting/,/assets/img/product/rakuten-hand/pht-device-01.png,〇,-,〇,〇,〇,〇,eSIM,〇,〇,〇,〇,,Android 10 / P710AE_10.0_RMN_JP_81,発売開始日に合わせて公開してください,,,,,2020/12/1,〇,
Androidスマートフォン,Rakuten Hand 5G,Rakuten,楽天モバイル,https://network.mobile.rakuten.co.jp/product/smartphone/rakuten-hand-5g/support/setting/,/assets/img/product/rakuten-hand-5g/pht-device-01.png,〇,〇,〇,〇,〇,〇,eSIM,〇,〇,〇,〇,eSIM x 2,Android 11 / P780AE_11.0_RMN_JP_120,発売開始日に合わせて公開してください,,,,,2022/2/14,〇,
Androidスマートフォン,Rakuten Mini,Rakuten,楽天モバイル,https://network.mobile.rakuten.co.jp/product/smartphone/rakuten-mini/support/setting/,/assets/img/product/rakuten-mini/pht-device-01.png,〇,-,〇,〇,〇,〇,eSIM,〇,〇,〇,〇,,Android 9 / C330AE_9.0_RMN_JP_55_SS,,,,,,2020/4/21,〇,
Apple,iPhone 15 Pro Max,iPhone,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3105,,2023/9/22,〇,
Apple,iPhone 15 Pro Max,iPhone,その他（SIMフリースマホ）,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3105,,2023/9/22,〇,
Apple,iPhone 15 Pro Max,iPhone,NTTドコモ,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3105,,2023/9/22,〇,
Apple,iPhone 15 Pro Max,iPhone,au,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3105,,2023/9/22,〇,
Apple,iPhone 15 Pro Max,iPhone,ソフトバンク,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3105,,2023/9/22,〇,
Apple,iPhone 15 Pro ,iPhone,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3101,,2023/9/22,〇,
Apple,iPhone 15 Pro ,iPhone,その他（SIMフリースマホ）,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3101,,2023/9/22,〇,
Apple,iPhone 15 Pro ,iPhone,NTTドコモ,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3101,,2023/9/22,〇,
Apple,iPhone 15 Pro ,iPhone,au,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3101,,2023/9/22,〇,
Apple,iPhone 15 Pro ,iPhone,ソフトバンク,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3101,,2023/9/22,〇,
Apple,iPhone 15 Plus,iPhone,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3093,,2023/9/22,〇,
Apple,iPhone 15 Plus,iPhone,その他（SIMフリースマホ）,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3093,,2023/9/22,〇,
Apple,iPhone 15 Plus,iPhone,NTTドコモ,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3093,,2023/9/22,〇,
Apple,iPhone 15 Plus,iPhone,au,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3093,,2023/9/22,〇,
Apple,iPhone 15 Plus,iPhone,ソフトバンク,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3093,,2023/9/22,〇,
Apple,iPhone 15,iPhone,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3089,,2023/9/22,〇,
Apple,iPhone 15,iPhone,その他（SIMフリースマホ）,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3089,,2023/9/22,〇,
Apple,iPhone 15,iPhone,NTTドコモ,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3089,,2023/9/22,〇,
Apple,iPhone 15,iPhone,au,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3089,,2023/9/22,〇,
Apple,iPhone 15,iPhone,ソフトバンク,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 17.0,楽天回線対応デバイスです。,〇,,A3089,,2023/9/22,〇,
Apple,iPhone 14 Pro Max,iPhone,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 16.0,楽天回線対応デバイスです。,,,A2893,,2022/9/16,〇,
Apple,iPhone 14 Pro Max,iPhone,その他（SIMフリースマホ）,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 16.0,楽天回線対応デバイスです。,,,A2893,,2022/9/16,〇,
Apple,iPhone 14 Pro Max,iPhone,NTTドコモ,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 16.0,楽天回線対応デバイスです。,,,A2893,,2022/12/7,〇,
Apple,iPhone 14 Pro Max,iPhone,au,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 16.0,楽天回線対応デバイスです。,,,A2893,,2022/12/7,〇,
Apple,iPhone 14 Pro Max,iPhone,ソフトバンク,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 16.0,楽天回線対応デバイスです。,,,A2893,,2022/12/7,〇,
Apple,iPhone 14 Pro,iPhone,楽天モバイル,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 16.0,楽天回線対応デバイスです。,,,A2889,,2022/9/16,〇,
Apple,iPhone 14 Pro,iPhone,その他（SIMフリースマホ）,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 16.0,楽天回線対応デバイスです。,,,A2889,,2022/9/16,〇,
Apple,iPhone 14 Pro,iPhone,NTTドコモ,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 16.0,楽天回線対応デバイスです。,,,A2889,,2022/12/7,〇,
Apple,iPhone 14 Pro,iPhone,au,https://network.mobile.rakuten.co.jp/guide/setting/ios/,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,eSIM x 2 または nanoSIM/eSIM,iOS 16.0,楽天回線対応デバイスです。,,,A2889,,2022/12/7,〇,
